Date,Description,URL
3.3 Mya - 2.6 Mya,"Stone tools - found in present-day Kenya, they are so old that only a pre-human species could have invented them.[1] The otherwise earliest known stone tools (Oldowan) were found in Ethiopia[2] developed perhaps by Australopithecus garhi or Homo habilis[3][4][further explanation needed]",https://en.wikipedia.org/wiki/Stone_tool
2.3 Mya,"Earliest likely control of fire and cooking, by Homo habilis[5][6][7]",https://en.wikipedia.org/wiki/Control_of_fire_by_early_humans
1.76 Mya,Advanced (Acheulean) stone tools in Kenya by Homo erectus[8][9],https://en.wikipedia.org/wiki/Acheulean
1.75 Mya - 150 kya,Varying estimates for the origin of language[10][11],https://en.wikipedia.org/wiki/Origin_of_language
1.5 Mya,Bone tools in Africa[12],https://en.wikipedia.org/wiki/Bone_tool
900 kya - 40 kya,Boats[13][14],https://en.wikipedia.org/wiki/Boat
500 kya,Hafting in South Africa[15],https://en.wikipedia.org/wiki/Hafting
450 kya - 500 kya,Woodworking construction in Zambia[16],https://en.wikipedia.org/wiki/Woodworking
400 kya,Pigments in Zambia[17],https://en.wikipedia.org/wiki/Pigment
400 kya - 300 kya,Spears in Germany[18][19] likely by Homo heidelbergensis,https://en.wikipedia.org/wiki/Spear
320 kya,"The trade and long-distance transportation of resources (e.g. obsidian), use of pigments, and possible making of projectile points in Kenya[20][21][22]",https://en.wikipedia.org/wiki/Trade
279 kya,Early stone-tipped projectile weapons in Ethiopia[23],https://en.wikipedia.org/wiki/Projectile_weapons
200 kya,"Glue in Central Italy by Neanderthals.[24] More complicated compound adhesives developed by Homo sapiens have been found from c. 70 kya Sibudu, South Africa[25] and have been regarded as a sign of cognitive advancement.[26]",https://en.wikipedia.org/wiki/Glue
200 kya,Beds in South Africa.[27][28][29],https://en.wikipedia.org/wiki/Beds
170 kya - 83 kya,"Clothing (among anatomically modern humans in Africa).[30] Some other evidence suggests that humans may have begun wearing clothing as far back as 100,000 to 500,000 years ago.[31]",https://en.wikipedia.org/wiki/History_of_clothing_and_textiles
164 kya - 47 kya,Heat treating of stone blades in South Africa.[32],https://en.wikipedia.org#cite_note-33
135 kya - 100 kya,Beads in Israel and Algeria[33],https://en.wikipedia.org/wiki/Bead
100 kya,Compound paints made in South Africa[34][35][36],https://en.wikipedia.org/wiki/Paints
100 kya,Funerals (in the form of burial) in Israel[37],https://en.wikipedia.org/wiki/Burial
90 kya,Harpoons in the Democratic Republic of the Congo.[38],https://en.wikipedia.org/wiki/Harpoons
70 kya - 60 kya,"Oldest arrows (and evidence of bow-and-arrow technology), and oldest needle, at Sibudu, South Africa[39][40][41][42][43]",https://en.wikipedia.org/wiki/Arrow
61 kya - 62 kya,Cave painting in Spain by Neanderthal[44],https://en.wikipedia.org/wiki/Cave_painting
49 kya - 30 kya,"Ground stone tools - fragments of an axe in Australia date to 49-45 ka, more appear in Japan closer to 30 ka, and elsewhere closer to the Neolithic.[45][46]",https://en.wikipedia.org/wiki/Ground_stone
47 kya,"The oldest-known mines in the world are from Eswatini, and extracted hematite for the production of the red pigment ochre.[47][48]",https://en.wikipedia.org/wiki/Ochre
45 kya - 9 kya,"Earliest evidence of shoes, suggested by changes in foot bone morphology in China by Tianyuan Man.[49] The earliest physical shoes found so far are bark sandals dated to 10 to 9 kya in Fort Rock Cave, United States.[50]",https://en.wikipedia.org/wiki/Shoes
44 kya - 42 kya,Tally sticks (see Lebombo bone) in Eswatini[51],https://en.wikipedia.org/wiki/Tally_sticks
42 kya,Flute in Germany[52][53],https://en.wikipedia.org/wiki/Flute
37 kya,Mortar and pestle in Southwest Asia[54],https://en.wikipedia.org/wiki/Mortar_and_pestle
36 kya,"Weaving - Indirect evidence from Moravia[55][56] and Georgia.[57] The earliest actual piece of woven cloth was found in Çatalhöyük, Turkey.[58][59]",https://en.wikipedia.org/wiki/Weaving
33 kya - 10 kya,Star chart in France[60] and Spain[61],https://en.wikipedia.org/wiki/Star_chart
28 kya,Rope[62],https://en.wikipedia.org/wiki/Rope
26 kya,Ceramics in Europe[63],https://en.wikipedia.org/wiki/Ceramics
23 kya,Domestication of the dog in Siberia.[64],https://en.wikipedia.org/wiki/Domestication_of_the_dog
22 kya,Fishing hook in Okinawa Island modern day Japan.[65][66],https://en.wikipedia.org/wiki/Fishing_hook
16 kya,Pottery in China[67],https://en.wikipedia.org/wiki/Pottery
14.5 kya,Bread in Jordan[68][69],https://en.wikipedia.org/wiki/Bread
"10,000 BC - 9000 BC:",Agriculture in the Fertile Crescent[70][71],https://en.wikipedia.org/wiki/Agriculture
"10,000 BC - 9000 BC:","Domestication of sheep in Southwest Asia[72][73] (followed shortly by pigs, goats and cattle)",https://en.wikipedia.org/wiki/Domestication
9000 BC - 6000 BC,Domestication of rice in China[74],https://en.wikipedia.org/wiki/Rice
9000 BC,"Oldest known surviving building - Göbekli Tepe, in Turkey[75]",https://en.wikipedia.org/wiki/List_of_oldest_known_surviving_buildings
9000 BC,"Mudbricks, and clay mortar in Jericho.[76][77][78]",https://en.wikipedia.org/wiki/Mudbricks
8400 BC,Oldest known water well in Cyprus.[79],https://en.wikipedia.org/wiki/Well
